Card Name,# Cubes,Sets,Mana Cost,Type
Abrade,22,Commander Masters Innistrad: Crimson Vow Commander Legends Double Masters Hour of Devastation Secret Lair Drop Starter Commander Decks The Brothers' War Commander Game Night: Free-for-All Innistrad: Double Feature Magic Online Promos Commander Legends The List Amonkhet Remastered Magic Online Promos Hour of Devastation Promos Crimson Vow Art Series,{1}{R},Instant
Acolyte of Affliction,1,Theros Beyond Death,{2}{B}{G},Creature — Human Cleric
Act of Treason,4,Jumpstart Core Set 2020 Ravnica Allegiance Core Set 2019 Masters 25 Magic Origins Khans of Tarkir Duel Decks: Speed vs. Cunning Magic 2014 Gatecrash Magic 2012 Magic 2011 Magic 2010 Mystery Booster Salvat 2011 Duels of the Planeswalkers,{2}{R},Sorcery
Adamant Will,2,Innistrad: Crimson Vow Dominaria Innistrad: Double Feature,{1}{W},Instant
Adventurous Impulse,1,Ikoria: Lair of Behemoths Dominaria Jumpstart 2022 Strixhaven Mystical Archive Strixhaven Mystical Archive Mystery Booster,{G},Sorcery
Agonizing Syphon,1,Jumpstart Core Set 2020,{3}{B},Sorcery
Almighty Brushwagg,1,Ikoria: Lair of Behemoths,{G},Creature — Brushwagg
Ambassador Oak,2,Jumpstart Masters 25 Duel Decks: Mind vs. Might Morningtide Mystery Booster,{3}{G},Creature — Treefolk Warrior
Angel of the Dawn,6,Commander Legends Double Masters Core Set 2019,{4}{W},Creature — Angel
Angelic Gift,4,Forgotten Realms Commander Commander Legends Core Set 2020 Battlebond Battle for Zendikar Mystery Booster,{1}{W},Enchantment — Aura
Ardent Elementalist,19,Innistrad: Midnight Hunt Innistrad: Double Feature,{3}{R},Creature — Human Shaman
Aven Wind Mage,1,Game Night 2019 Core Set 2019,{2}{U},Creature — Bird Wizard
Axgard Cavalry,1,Kaldheim Jumpstart 2022,{1}{R},Creature — Dwarf Berserker
Basri's Acolyte,8,Core Set 2021 Jumpstart 2022 Core Set 2021,{2}{W}{W},Creature — Cat Cleric
Battlefield Promotion,2,Double Masters 2022 Jumpstart War of the Spark,{1}{W},Instant
Blessed Light,1,Dominaria,{4}{W},Instant
Boggart Brute,1,Jumpstart Core Set 2019 Duel Decks: Merfolk vs. Goblins Magic Origins Mystery Booster,{2}{R},Creature — Goblin Warrior
Bone Splinters,1,Dominaria United Jumpstart Core Set 2020 Game Night Modern Masters 2017 Battle for Zendikar Modern Masters 2015 Duel Decks: Speed vs. Cunning Avacyn Restored Shards of Alara Secret Lair Drop Mystery Booster Dominaria United Art Series,{B},Sorcery
Borderland Marauder,7,Jumpstart Battlebond Iconic Masters Eternal Masters Welcome Deck 2016 Magic 2015 Jumpstart 2022,{1}{R},Creature — Human Warrior
Breakneck Berserker,1,Kaldheim,{2}{R},Creature — Dwarf Berserker
Bring to Trial,1,Ravnica Allegiance Jumpstart 2022,{2}{W},Sorcery
Bristling Boar,1,Ikoria: Lair of Behemoths Core Set 2020 Core Set 2019 Jumpstart 2022 Mystery Booster,{3}{G},Creature — Boar
Broken Wings,5,Commander Masters Dominaria United Streets of New Capenna Kaldheim Zendikar Rising Game Night: Free-for-All,{2}{G},Instant
Bulwark Giant,1,Jumpstart War of the Spark Mystery Booster,{5}{W},Creature — Giant Soldier
Burglar Rat,1,Jumpstart Guilds of Ravnica Jumpstart 2022,{1}{B},Creature — Rat
Burning Prophet,15,War of the Spark,{1}{R},Creature — Human Wizard
Burrowing Razormaw,1,The Brothers' War,{2}{G},Creature — Beast
Bushmeat Poacher,3,Ikoria: Lair of Behemoths Game Night: Free-for-All,{3}{B},Creature — Human Soldier
Cadaver Imp,6,Commander Masters Jumpstart Planechase Anthology Duel Decks: Nissa vs. Ob Nixilis Duel Decks: Zendikar vs. Eldrazi Planechase 2012 Rise of the Eldrazi Mystery Booster,{1}{B}{B},Creature — Imp
Campus Guide,2,Strixhaven: School of Mages Jumpstart 2022,{2},Artifact Creature — Golem
Cancel,1,Core Set 2021 Core Set 2019 Ixalan Amonkhet Planechase Anthology Khans of Tarkir Magic 2015 Magic 2014 Return to Ravnica Planechase 2012 Magic 2012 Magic 2011 Zendikar Magic 2010 Shards of Alara Tenth Edition Time Spiral Mystery Booster Magic Online Promos Salvat 2011 Duels of the Planeswalkers Magic Player Rewards 2010,{1}{U}{U},Instant
Capture Sphere,1,Double Masters 2022 Core Set 2021 Ikoria: Lair of Behemoths Guilds of Ravnica Mystery Booster,{3}{U},Enchantment — Aura
