Set,Release Date,Card Name,# Cubes,Card No.,Mana Cost,Type,Rarity,Price
Limited Edition Alpha,1993-08-05,Unsummon,2,86,{U},Instant,common,63.28
Limited Edition Alpha,1993-08-05,Llanowar Elves,27,210,{G},Creature — Elf Druid,common,339.98
Limited Edition Beta,1993-10-04,Unsummon,2,87,{U},Instant,common,15.22
Limited Edition Beta,1993-10-04,Llanowar Elves,27,211,{G},Creature — Elf Druid,common,113.33
Unlimited Edition,1993-12-01,Unsummon,2,87,{U},Instant,common,0.98
Unlimited Edition,1993-12-01,Llanowar Elves,27,211,{G},Creature — Elf Druid,common,14.71
Intl. Collectors' Edition,1993-12-10,Unsummon,2,87,{U},Instant,common,5.70
Collectors' Edition,1993-12-10,Unsummon,2,87,{U},Instant,common,5.79
Intl. Collectors' Edition,1993-12-10,Llanowar Elves,27,211,{G},Creature — Elf Druid,common,
Collectors' Edition,1993-12-10,Llanowar Elves,27,211,{G},Creature — Elf Druid,common,26.73
Revised Edition,1994-04-01,Unsummon,2,87,{U},Instant,common,0.18
Foreign Black Border,1994-04-01,Unsummon,2,87,{U},Instant,common,
Revised Edition,1994-04-01,Llanowar Elves,27,211,{G},Creature — Elf Druid,common,0.32
Foreign Black Border,1994-04-01,Llanowar Elves,27,211,{G},Creature — Elf Druid,common,12.95
Summer Magic / Edgar,1994-06-21,Unsummon,2,87,{U},Instant,common,
Summer Magic / Edgar,1994-06-21,Llanowar Elves,27,211,{G},Creature — Elf Druid,common,
Fourth Edition,1995-04-01,Unsummon,2,111,{U},Instant,common,0.07
Fourth Edition Foreign Black Border,1995-04-01,Unsummon,2,111,{U},Instant,common,1.50
Fourth Edition,1995-04-01,Llanowar Elves,27,261,{G},Creature — Elf Druid,common,0.34
Fourth Edition Foreign Black Border,1995-04-01,Llanowar Elves,27,261,{G},Creature — Elf Druid,common,11.48
Pro Tour Collector Set,1996-05-01,Llanowar Elves,27,bl261,{G},Creature — Elf Druid,common,4.75
Rivals Quick Start Set,1996-07-01,Unsummon,2,13,{U},Instant,common,
Mirage,1996-10-08,Pacifism,11,32,{1}{W},Enchantment — Aura,common,0.16
Introductory Two-Player Set,1996-12-31,Unsummon,2,14,{U},Instant,common,2.00
Visions,1997-02-03,Impulse,14,34,{1}{U},Instant,common,0.58
Fifth Edition,1997-03-24,Unsummon,2,132,{U},Instant,common,0.20
Fifth Edition,1997-03-24,Llanowar Elves,27,313,{G},Creature — Elf Druid,common,0.38
World Championship Decks 1997,1997-08-13,Impulse,14,jk34,{1}{U},Instant,common,0.29
Tempest,1997-10-14,Pacifism,11,34,{1}{W},Enchantment — Aura,common,0.12
Stronghold,1998-03-02,Youthful Knight,4,25,{1}{W},Creature — Human Knight,common,0.17
Stronghold,1998-03-02,Fling,5,82,{1}{R},Instant,common,0.22
Stronghold,1998-03-02,Shock,5,98,{R},Instant,common,0.22
Portal Second Age,1998-06-24,Sleight of Hand,3,46,{U},Sorcery,common,5.23
World Championship Decks 1998,1998-08-12,Shock,5,br98b,{R},Instant,common,0.15
World Championship Decks 1998,1998-08-12,Impulse,14,rb34,{1}{U},Instant,common,0.34
Urza's Saga,1998-10-12,Pacifism,11,27,{1}{W},Enchantment — Aura,common,0.12
Anthologies,1998-11-01,Pacifism,11,10,{1}{W},Enchantment — Aura,common,0.13
Anthologies,1998-11-01,Youthful Knight,4,19,{1}{W},Creature — Human Knight,common,0.19
Anthologies,1998-11-01,Llanowar Elves,27,59,{G},Creature — Elf Druid,common,0.44
Classic Sixth Edition,1999-04-21,Pacifism,11,33,{1}{W},Enchantment — Aura,common,0.10
Classic Sixth Edition,1999-04-21,Unsummon,2,103,{U},Instant,common,0.09
Classic Sixth Edition,1999-04-21,Shock,5,206,{R},Instant,common,0.20
Classic Sixth Edition,1999-04-21,Llanowar Elves,27,239,{G},Creature — Elf Druid,common,0.35
Starter 1999,1999-07-01,Sleight of Hand,3,51,{U},Sorcery,common,0.90
World Championship Decks 1999,1999-08-04,Shock,5,mlp98,{R},Instant,common,0.25
World Championship Decks 1999,1999-08-04,Llanowar Elves,27,ml239,{G},Creature — Elf Druid,common,1.68
Battle Royale Box Set,1999-11-12,Llanowar Elves,27,39,{G},Creature — Elf Druid,common,0.94
Battle Royale Box Set,1999-11-12,Pacifism,11,48,{1}{W},Enchantment — Aura,common,0.20
Friday Night Magic 2000,2000-01-01,Shock,5,6,{R},Instant,rare,
Friday Night Magic 2000,2000-01-01,Llanowar Elves,27,11,{G},Creature — Elf Druid,rare,
Media Inserts,2000-05-01,Phyrexian Rager,23,14,{2}{B},Creature — Phyrexian Horror,common,
World Championship Decks 2000,2000-08-02,Llanowar Elves,27,jk239,{G},Creature — Elf Druid,common,0.54
Beatdown Box Set,2000-10-01,Impulse,14,10,{1}{U},Instant,common,1.39
Beatdown Box Set,2000-10-01,Shock,5,45,{R},Instant,common,0.35
Beatdown Box Set,2000-10-01,Llanowar Elves,27,58,{G},Creature — Elf Druid,common,0.99
Invasion,2000-10-02,Opt,16,64,{U},Instant,common,0.40
Arena League 2001,2001-01-01,Fling,5,6,{1}{R},Instant,rare,
Friday Night Magic 2001,2001-01-01,Impulse,14,11,{1}{U},Instant,rare,
Seventh Edition,2001-04-11,Pacifism,11,29,{1}{W},Enchantment — Aura,common,0.12
Seventh Edition,2001-04-11,Sleight of Hand,3,98,{U},Sorcery,common,0.42
Seventh Edition,2001-04-11,Unsummon,2,108,{U},Instant,common,0.14
Seventh Edition,2001-04-11,Shock,5,219,{R},Instant,common,0.19
Seventh Edition,2001-04-11,Llanowar Elves,27,253,{G},Creature — Elf Druid,common,0.36
Apocalypse,2001-06-04,Phyrexian Rager,23,49,{2}{B},Creature — Phyrexian Horror,common,0.19
World Championship Decks 2001,2001-08-08,Opt,16,ar64,{U},Instant,common,3.52
World Championship Decks 2001,2001-08-08,Llanowar Elves,27,jt253,{G},Creature — Elf Druid,common,2.97
World Championship Decks 2002,2002-08-14,Llanowar Elves,27,bk253,{G},Creature — Elf Druid,common,3.47
Onslaught,2002-10-07,Pacifism,11,47,{1}{W},Enchantment — Aura,common,0.16
Onslaught,2002-10-07,Shock,5,227,{R},Instant,common,0.17
Eighth Edition,2003-07-28,Pacifism,11,33,{1}{W},Enchantment — Aura,common,0.07
Eighth Edition,2003-07-28,Unsummon,2,112,{U},Instant,common,0.10
Eighth Edition,2003-07-28,Shock,5,222,{R},Instant,common,0.08
World Championship Decks 2003,2003-08-06,Unsummon,2,dh112,{U},Instant,common,1.18
Mirrodin,2003-10-02,Raise the Alarm,20,16,{1}{W},Instant,common,0.10
World Championship Decks 2004,2004-09-01,Pacifism,11,gn33sb,{1}{W},Enchantment — Aura,common,0.30
