Set,Release Date,Card Name,# Cubes,Card No.,Mana Cost,Type,Rarity,Price
Limited Edition Alpha,1993-08-05,Savannah Lions,12,38,{W},Creature — Cat,rare,
Limited Edition Alpha,1993-08-05,Counterspell,29,54,{U}{U},Instant,uncommon,
Limited Edition Alpha,1993-08-05,Pestilence,19,120,{2}{B}{B},Enchantment,common,81.21
Limited Edition Alpha,1993-08-05,Fireball,12,149,{X}{R},Sorcery,common,126.99
Limited Edition Alpha,1993-08-05,Lightning Bolt,28,161,{R},Instant,common,398.99
Limited Edition Alpha,1993-08-05,Giant Growth,11,197,{G},Instant,common,56.74
Limited Edition Alpha,1993-08-05,Llanowar Elves,28,210,{G},Creature — Elf Druid,common,339.98
Limited Edition Beta,1993-10-04,Savannah Lions,12,39,{W},Creature — Cat,rare,499.99
Limited Edition Beta,1993-10-04,Counterspell,29,55,{U}{U},Instant,uncommon,500.00
Limited Edition Beta,1993-10-04,Pestilence,19,121,{2}{B}{B},Enchantment,common,24.76
Limited Edition Beta,1993-10-04,Fireball,12,150,{X}{R},Sorcery,common,31.02
Limited Edition Beta,1993-10-04,Lightning Bolt,28,162,{R},Instant,common,519.76
Limited Edition Beta,1993-10-04,Giant Growth,11,198,{G},Instant,common,32.49
Limited Edition Beta,1993-10-04,Llanowar Elves,28,211,{G},Creature — Elf Druid,common,113.33
Unlimited Edition,1993-12-01,Savannah Lions,12,39,{W},Creature — Cat,rare,194.99
Unlimited Edition,1993-12-01,Counterspell,29,55,{U}{U},Instant,uncommon,85.03
Unlimited Edition,1993-12-01,Pestilence,19,121,{2}{B}{B},Enchantment,common,1.41
Unlimited Edition,1993-12-01,Fireball,12,150,{X}{R},Sorcery,common,4.67
Unlimited Edition,1993-12-01,Lightning Bolt,28,162,{R},Instant,common,23.96
Unlimited Edition,1993-12-01,Giant Growth,11,198,{G},Instant,common,2.33
Unlimited Edition,1993-12-01,Llanowar Elves,28,211,{G},Creature — Elf Druid,common,14.71
Intl. Collectors' Edition,1993-12-10,Savannah Lions,12,39,{W},Creature — Cat,rare,
Collectors' Edition,1993-12-10,Savannah Lions,12,39,{W},Creature — Cat,rare,
Intl. Collectors' Edition,1993-12-10,Counterspell,29,55,{U}{U},Instant,uncommon,
Collectors' Edition,1993-12-10,Counterspell,29,55,{U}{U},Instant,uncommon,50.98
Intl. Collectors' Edition,1993-12-10,Pestilence,19,121,{2}{B}{B},Enchantment,common,1.60
Collectors' Edition,1993-12-10,Pestilence,19,121,{2}{B}{B},Enchantment,common,3.60
Intl. Collectors' Edition,1993-12-10,Fireball,12,150,{X}{R},Sorcery,common,
Collectors' Edition,1993-12-10,Fireball,12,150,{X}{R},Sorcery,common,12.45
Intl. Collectors' Edition,1993-12-10,Lightning Bolt,28,162,{R},Instant,common,
