Set,Release Date,Card Name,# Cubes,Card No.,Mana Cost,Type,Rarity,Price
Limited Edition Alpha,1993-08-05,Llanowar Elves,28,210,{G},Creature — Elf Druid,common,339.98
Limited Edition Alpha,1993-08-05,Wild Growth,11,229,{G},Enchantment — Aura,common,51.82
Limited Edition Beta,1993-10-04,Llanowar Elves,28,211,{G},Creature — Elf Druid,common,113.33
Limited Edition Beta,1993-10-04,Wild Growth,11,230,{G},Enchantment — Aura,common,34.96
Unlimited Edition,1993-12-01,Llanowar Elves,28,211,{G},Creature — Elf Druid,common,14.71
Unlimited Edition,1993-12-01,Wild Growth,11,230,{G},Enchantment — Aura,common,3.45
Intl. Collectors' Edition,1993-12-10,Llanowar Elves,28,211,{G},Creature — Elf Druid,common,
Collectors' Edition,1993-12-10,Llanowar Elves,28,211,{G},Creature — Elf Druid,common,26.73
Intl. Collectors' Edition,1993-12-10,Wild Growth,11,230,{G},Enchantment — Aura,common,5.89
Collectors' Edition,1993-12-10,Wild Growth,11,230,{G},Enchantment — Aura,common,6.61
Revised Edition,1994-04-01,Llanowar Elves,28,211,{G},Creature — Elf Druid,common,0.32
Foreign Black Border,1994-04-01,Llanowar Elves,28,211,{G},Creature — Elf Druid,common,12.95
Revised Edition,1994-04-01,Wild Growth,11,230,{G},Enchantment — Aura,common,0.27
Foreign Black Border,1994-04-01,Wild Growth,11,230,{G},Enchantment — Aura,common,6.50
Summer Magic / Edgar,1994-06-21,Llanowar Elves,28,211,{G},Creature — Elf Druid,common,
Summer Magic / Edgar,1994-06-21,Wild Growth,11,230,{G},Enchantment — Aura,common,
Fourth Edition,1995-04-01,Llanowar Elves,28,261,{G},Creature — Elf Druid,common,0.34
Fourth Edition Foreign Black Border,1995-04-01,Llanowar Elves,28,261,{G},Creature — Elf Druid,common,11.48
Fourth Edition,1995-04-01,Wild Growth,11,289,{G},Enchantment — Aura,common,0.25
Fourth Edition Foreign Black Border,1995-04-01,Wild Growth,11,289,{G},Enchantment — Aura,common,2.00
Ice Age,1995-06-03,Wild Growth,11,277,{G},Enchantment — Aura,common,0.31
Pro Tour Collector Set,1996-05-01,Llanowar Elves,28,bl261,{G},Creature — Elf Druid,common,4.75
Fifth Edition,1997-03-24,Llanowar Elves,28,313,{G},Creature — Elf Druid,common,0.38
Fifth Edition,1997-03-24,Wild Growth,11,342,{G},Enchantment — Aura,common,0.30
Weatherlight,1997-06-09,Mind Stone,23,153,{2},Artifact,common,0.51
World Championship Decks 1997,1997-08-13,Mind Stone,23,pm153,{2},Artifact,common,2.30
Tempest,1997-10-14,Volrath's Curse,2,101,{1}{U},Enchantment — Aura,common,0.20
Stronghold,1998-03-02,Fling,6,82,{1}{R},Instant,common,0.22
Stronghold,1998-03-02,Shock,6,98,{R},Instant,common,0.22
World Championship Decks 1998,1998-08-12,Shock,6,br98b,{R},Instant,common,0.15
Anthologies,1998-11-01,Llanowar Elves,28,59,{G},Creature — Elf Druid,common,0.44
Urza's Legacy,1999-02-15,Unearth,23,72,{B},Sorcery,common,0.67
Urza's Legacy,1999-02-15,Rancor,28,110,{G},Enchantment — Aura,common,1.34
Classic Sixth Edition,1999-04-21,Shock,6,206,{R},Instant,common,0.20
Classic Sixth Edition,1999-04-21,Llanowar Elves,28,239,{G},Creature — Elf Druid,common,0.35
Classic Sixth Edition,1999-04-21,Wild Growth,11,268,{G},Enchantment — Aura,common,0.30
World Championship Decks 1999,1999-08-04,Shock,6,mlp98,{R},Instant,common,0.25
World Championship Decks 1999,1999-08-04,Llanowar Elves,28,ml239,{G},Creature — Elf Druid,common,1.68
World Championship Decks 1999,1999-08-04,Rancor,28,ml110,{G},Enchantment — Aura,common,1.11
Battle Royale Box Set,1999-11-12,Llanowar Elves,28,39,{G},Creature — Elf Druid,common,0.94
Friday Night Magic 2000,2000-01-01,Shock,6,6,{R},Instant,rare,
