Set,Release Date,Set Type,Card Name,Card No.,Mana Cost,Type,Rarity,Price
Limited Edition Alpha,1993-08-05,core,Disenchant,18,{1}{W},Instant,common,74.96
Limited Edition Alpha,1993-08-05,core,Savannah Lions,38,{W},Creature — Cat,rare,
Limited Edition Alpha,1993-08-05,core,Serra Angel,39,{3}{W}{W},Creature — Angel,uncommon,
Limited Edition Alpha,1993-08-05,core,Swords to Plowshares,40,{W},Instant,uncommon,699.00
Limited Edition Alpha,1993-08-05,core,Animate Artifact,48,{3}{U},Enchantment — Aura,uncommon,45.99
Limited Edition Alpha,1993-08-05,core,Clone,51,{3}{U},Creature — Shapeshifter,uncommon,
Limited Edition Alpha,1993-08-05,core,Control Magic,52,{2}{U}{U},Enchantment — Aura,uncommon,
Limited Edition Alpha,1993-08-05,core,Copy Artifact,53,{1}{U},Enchantment,rare,
Limited Edition Alpha,1993-08-05,core,Counterspell,54,{U}{U},Instant,uncommon,
Limited Edition Alpha,1993-08-05,core,Magical Hack,63,{U},Instant,rare,
Limited Edition Alpha,1993-08-05,core,Power Sink,72,{X}{U},Instant,common,47.74
Limited Edition Alpha,1993-08-05,core,Psionic Blast,74,{2}{U},Instant,uncommon,399.99
Limited Edition Alpha,1993-08-05,core,Steal Artifact,81,{2}{U}{U},Enchantment — Aura,uncommon,
Limited Edition Alpha,1993-08-05,core,Unsummon,86,{U},Instant,common,63.28
Limited Edition Alpha,1993-08-05,core,Animate Dead,92,{1}{B},Enchantment — Aura,uncommon,
Limited Edition Alpha,1993-08-05,core,Dark Ritual,98,{B},Instant,common,357.99
Limited Edition Alpha,1993-08-05,core,Demonic Tutor,104,{1}{B},Sorcery,uncommon,
Limited Edition Alpha,1993-08-05,core,Drain Life,105,{X}{1}{B},Sorcery,common,85.00
Limited Edition Alpha,1993-08-05,core,Hypnotic Specter,112,{1}{B}{B},Creature — Specter,uncommon,675.00
Limited Edition Alpha,1993-08-05,core,Paralyze,119,{B},Enchantment — Aura,common,49.99
Limited Edition Alpha,1993-08-05,core,Pestilence,120,{2}{B}{B},Enchantment,common,81.21
Limited Edition Alpha,1993-08-05,core,Sinkhole,129,{B}{B},Sorcery,common,194.01
Limited Edition Alpha,1993-08-05,core,Terror,130,{1}{B},Instant,common,104.99
Limited Edition Alpha,1993-08-05,core,Warp Artifact,133,{B}{B},Enchantment — Aura,rare,439.99
Limited Edition Alpha,1993-08-05,core,Disintegrate,140,{X}{R},Sorcery,common,98.99
Limited Edition Alpha,1993-08-05,core,Fireball,149,{X}{R},Sorcery,common,126.99
Limited Edition Alpha,1993-08-05,core,Lightning Bolt,161,{R},Instant,common,398.99
Limited Edition Alpha,1993-08-05,core,Orcish Oriflamme,166,{3}{R},Enchantment,uncommon,154.35
Limited Edition Alpha,1993-08-05,core,Red Elemental Blast,169,{R},Instant,common,133.99
Limited Edition Alpha,1993-08-05,core,Berserk,185,{G},Instant,uncommon,
Limited Edition Alpha,1993-08-05,core,Giant Growth,197,{G},Instant,common,56.74
Limited Edition Alpha,1993-08-05,core,Living Artifact,208,{G},Enchantment — Aura,rare,
Limited Edition Alpha,1993-08-05,core,Llanowar Elves,210,{G},Creature — Elf Druid,common,339.98
Limited Edition Alpha,1993-08-05,core,Regrowth,214,{1}{G},Sorcery,uncommon,169.94
Limited Edition Alpha,1993-08-05,core,Wild Growth,229,{G},Enchantment — Aura,common,51.82
Limited Edition Alpha,1993-08-05,core,Disrupting Scepter,242,{3},Artifact,rare,1000.00
Limited Edition Alpha,1993-08-05,core,Icy Manipulator,248,{4},Artifact,uncommon,560.95
Limited Edition Alpha,1993-08-05,core,Juggernaut,255,{4},Artifact Creature — Juggernaut,uncommon,
Limited Edition Beta,1993-10-04,core,Disenchant,19,{1}{W},Instant,common,49.18
Limited Edition Beta,1993-10-04,core,Savannah Lions,39,{W},Creature — Cat,rare,499.99
Limited Edition Beta,1993-10-04,core,Serra Angel,40,{3}{W}{W},Creature — Angel,uncommon,489.94
Limited Edition Beta,1993-10-04,core,Swords to Plowshares,41,{W},Instant,uncommon,
Limited Edition Beta,1993-10-04,core,Animate Artifact,49,{3}{U},Enchantment — Aura,uncommon,15.73
Limited Edition Beta,1993-10-04,core,Clone,52,{3}{U},Creature — Shapeshifter,uncommon,101.18
Limited Edition Beta,1993-10-04,core,Control Magic,53,{2}{U}{U},Enchantment — Aura,uncommon,74.03
Limited Edition Beta,1993-10-04,core,Copy Artifact,54,{1}{U},Enchantment,rare,244.00
Limited Edition Beta,1993-10-04,core,Counterspell,55,{U}{U},Instant,uncommon,500.00
Limited Edition Beta,1993-10-04,core,Magical Hack,64,{U},Instant,rare,96.87
Limited Edition Beta,1993-10-04,core,Power Sink,73,{X}{U},Instant,common,19.85
Limited Edition Beta,1993-10-04,core,Psionic Blast,75,{2}{U},Instant,uncommon,212.00
